ID_Pedido,Data_Pedido,Data_Entrega_Prevista,Data_Entrega_Real,ID_Fornecedor,Nome_Fornecedor,Categoria_Produto,Produto,Qtd,Preco_Unitario_Negociado,Preco_Tabela,Status_Entrega
PO-10001,2023-09-22,2023-10-06,2023-10-06,105,Química Inovadora,Componentes,Parafuso Inox,136,376.46,395.25,Entregue
PO-10002,2023-12-21,2024-01-10,2024-01-10,106,Transportes & Log,Matéria-Prima,Chapa de Alumínio,332,110.67,119.77,Entregue
PO-10003,2023-05-13,2023-05-23,2023-05-22,106,Transportes & Log,Componentes,Parafuso Inox,192,431.12,460.57,Entregue
PO-10004,2023-09-24,2023-10-01,2023-09-30,101,Metalúrgica AçoForte,Componentes,Sensor Óptico,60,67.43,71.62,Entregue
PO-10005,2023-04-03,2023-04-15,2023-04-14,102,Plásticos do Sul,Componentes,Placa de Circuito,362,270.74,276.49,Entregue
PO-10006,2023-09-17,2023-09-29,2023-10-14,103,Eletrônicos Tech,Embalagem,Filme Stretch,410,99.62,108.2,Entregue
PO-10007,2023-02-21,2023-03-09,,102,Plásticos do Sul,MRO,Ferramentas de Corte,210,169.68,195.87,Pendente
PO-10008,2023-02-09,2023-02-27,2023-03-10,103,Eletrônicos Tech,Embalagem,Pallet Padrão,84,350.37,367.36,Entregue
PO-10009,2023-12-12,2023-12-30,2023-12-27,107,Componentes BR,Componentes,Parafuso Inox,43,461.47,469.55,Entregue
PO-10010,2023-03-31,2023-04-19,2023-04-16,106,Transportes & Log,Matéria-Prima,Resina Epóxi,188,48.59,50.68,Entregue
PO-10011,2023-04-29,2023-05-07,2023-05-04,106,Transportes & Log,Embalagem,Filme Stretch,382,422.39,473.89,Entregue
PO-10012,2023-10-04,2023-10-10,2023-10-15,103,Eletrônicos Tech,Matéria-Prima,Resina Epóxi,374,276.49,266.86,Devolvido
PO-10013,2023-06-01,2023-06-20,2023-06-20,102,Plásticos do Sul,MRO,Óleo Lubrificante,180,289.5,302.14,Entregue
PO-10014,2023-09-21,2023-09-28,2023-09-27,108,Importadora Oriente,Componentes,Parafuso Inox,203,200.57,221.51,Entregue
PO-10015,2023-10-15,2023-10-24,2023-10-23,106,Transportes & Log,MRO,Ferramentas de Corte,149,482.96,489.21,Entregue
PO-10016,2023-01-26,2023-02-12,2023-02-12,107,Componentes BR,Matéria-Prima,Bobina de Aço,378,167.25,191.38,Entregue
PO-10017,2023-02-14,2023-02-22,2023-02-20,102,Plásticos do Sul,MRO,Ferramentas de Corte,249,318.8,314.6,Entregue
PO-10018,2023-05-06,2023-05-12,2023-05-11,108,Importadora Oriente,Matéria-Prima,Chapa de Alumínio,290,164.3,158.49,Entregue
PO-10019,2023-10-25,2023-11-11,2023-11-11,108,Importadora Oriente,Embalagem,Pallet Padrão,72,327.38,360.84,Entregue
